user_id,product_id,context_id,rating,timestamp
A351355,B1000268,227,4,1761939701
A213978,B1001583,210,5,1755644885
A160666,B1003231,1136,5,1749434753
A544969,B1002117,1050,5,1737271967
A362338,B1001746,648,5,1755082946
A565199,B1001861,183,4,1747979880
A502993,B1002640,1110,4,1755913635
A864963,B1004990,1307,5,1744045943
A206383,B1002793,1022,5,1735250860
A672582,B1000904,756,5,1758389959
A145434,B1001123,1384,5,1735363209
A327437,B1004599,859,5,1754959210
A186077,B1000078,473,5,1764426874
A184662,B1002228,147,4,1744182484
A432688,B1000285,1230,5,1751105638
A749050,B1002754,973,5,1747862170
A322976,B1000262,381,5,1753351733
A428569,B1001200,670,4,1754716263
A798729,B1003669,970,5,1763776430
A560143,B1003703,424,5,1755982445
A603383,B1000138,1097,3,1735212273
A134512,B1004402,709,5,1749504878
A984257,B1002536,459,4,1755865352
A710236,B1004866,1052,5,1753935038
A224377,B1002237,722,4,1749633004
A750617,B1002253,211,4,1755958960
A103531,B1004330,1199,3,1752418774
A357003,B1002707,282,3,1745459731
A672582,B1004327,473,5,1762828336
A314334,B1000977,680,5,1759190947
A790279,B1004599,1057,4,1750612694
A525284,B1004052,312,5,1737881859
A386816,B1001720,160,5,1748347379
A987440,B1001332,969,5,1735803636
A781081,B1003015,793,4,1750083327
A304160,B1003805,1441,4,1749589248
A541925,B1001681,475,4,1761391765
A831084,B1004986,462,4,1747631428
A506831,B1003023,8,5,1754547279
A660225,B1004366,2,5,1745488264
A418348,B1002062,1444,5,1758797688
A513899,B1004936,1133,4,1738198702
A838525,B1000352,1391,5,1755263508
A202612,B1002283,1020,4,1743698599
A758903,B1003400,137,5,1756372658
A637323,B1000955,1222,5,1742958702
A257856,B1000778,1440,5,1753118081
A534154,B1001591,1382,4,1758675019
A444780,B1000597,1059,5,1739885667
A573442,B1000127,329,5,1739817682
A593610,B1002869,992,5,1740429807
A321155,B1000872,708,4,1761826683
A107088,B1001323,89,5,1736366752
A942179,B1000897,185,4,1754031050
A103039,B1000334,1147,4,1735922272
A266776,B1000973,1023,4,1752719897
A544869,B1000842,1333,5,1739498270
A589343,B1003796,585,5,1761772156
A236938,B1004607,1489,5,1736768717
A461388,B1001247,195,4,1754132495
A944828,B1002116,294,5,1748304016
A466351,B1001100,1436,5,1738127752
A565199,B1004638,199,4,1740331285
A168088,B1003424,339,4,1742831812
A149399,B1002032,505,4,1753722592
A990281,B1003282,1098,5,1748601137
A891938,B1002856,177,3,1757478026
A282732,B1003644,783,5,1750940045
A269308,B1003475,965,4,1751231570
A887333,B1003438,130,5,1755955609
A851105,B1002420,593,4,1758934498
A841630,B1003811,728,4,1740028829
A987453,B1001441,649,3,1760689521
A562660,B1004729,1097,5,1747593748
A221465,B1001436,827,5,1753083977
A322976,B1002319,755,5,1749951927
A848056,B1002927,1131,5,1761463447
A407103,B1003701,527,4,1741113957
A393665,B1000004,915,5,1748216240
A712749,B1002228,1157,4,1740296141
A227154,B1002995,715,5,1740248321
A182614,B1002805,119,5,1735274855
A839825,B1001532,985,5,1755282755
A533923,B1004587,1026,5,1743546210
A942925,B1003529,1464,3,1746882569
A846135,B1004445,841,3,1738074181
A502222,B1000018,381,5,1765494798
A796843,B1000532,1268,4,1754918578
A935560,B1002514,709,4,1742105456
A980807,B1002678,555,4,1762090819
A646625,B1004747,312,5,1764803324
A784267,B1000508,1427,5,1756075363
A179719,B1001674,1079,5,1752615801
A747520,B1002202,786,5,1751415530
A522223,B1003440,722,4,1757224412
A464068,B1003698,789,5,1756981520
A858783,B1004829,816,4,1743845474
A244053,B1000936,1369,4,1741430771
A154985,B1003409,807,5,1745913648
A830439,B1000851,341,5,1751916354
A847569,B1002942,1293,4,1755144970
A538760,B1000983,395,5,1743733164
A885711,B1001270,114,4,1762971952
A861096,B1001197,684,5,1754080904
A613877,B1004202,1154,3,1743707150
A773670,B1000053,1401,5,1735511291
A790279,B1004975,86,4,1740214339
A498252,B1004914,1491,5,1758730865
A463690,B1004064,1313,4,1750250150
A745925,B1001135,209,4,1742495504
A132780,B1004795,1139,5,1754143770
A143181,B1002798,628,5,1762924677
A651068,B1001593,1313,5,1758060164
A670920,B1000929,82,3,1740416927
A942246,B1003912,1223,5,1762501616
A226014,B1003570,1409,4,1764158459
A997177,B1001007,931,5,1756692186
A306760,B1003842,1229,4,1757537942
A200817,B1000393,260,4,1757805176
A546406,B1003886,487,5,1755695126
A326369,B1000321,328,4,1758280959
A749212,B1001017,810,3,1740177229
A282732,B1001639,963,3,1748644396
A553769,B1004652,645,3,1762574705
A960610,B1003130,655,4,1747976867
A246665,B1001425,1011,5,1753893416
A607667,B1002503,366,5,1743737209
A414262,B1001907,1416,4,1753978563
A786337,B1003459,784,5,1761145688
A613237,B1002049,1298,5,1737680691
A760977,B1002821,406,5,1735801525
A361902,B1000234,1198,4,1754564125
A378715,B1000765,571,3,1746817165
A493857,B1000456,1280,4,1742707796
A965643,B1000857,1016,5,1743788063
A199756,B1002921,150,5,1762773951
A704006,B1002304,1376,4,1745193154
A766448,B1004198,112,3,1753890990
A138345,B1002550,1149,5,1762476023
A690214,B1001439,1314,3,1755906782
A762406,B1004440,1312,4,1757958172
A112994,B1003493,404,5,1741523183
A264512,B1003311,864,5,1736144617
A873093,B1004727,1378,5,1763378770
A602637,B1000088,200,5,1741960948
A919744,B1002700,882,5,1742119588
A226737,B1004685,1202,3,1754716072
A113286,B1001124,639,5,1754947387
A861068,B1004073,1247,4,1754294813
A428521,B1001806,52,5,1751688962
A960412,B1003955,5,5,1757154158
A687514,B1001662,176,5,1748989426
A775041,B1001498,1423,3,1753707631
A453717,B1001068,1032,3,1738343074
A224073,B1000692,515,4,1734693962
A104612,B1002887,1162,5,1755878457
A217883,B1004992,1423,4,1748215976
A693383,B1004079,397,3,1752965386
A414700,B1003693,619,4,1749881448
A598282,B1004143,794,5,1754081886
A721874,B1003526,176,5,1749869120
A872105,B1003114,1309,5,1763603284
A846221,B1004750,441,5,1749825862
A879622,B1000485,686,5,1753149265
A780316,B1003458,256,3,1761677157
A483835,B1003646,198,3,1764841920
A934099,B1001513,1066,4,1766055432
A717730,B1003960,1190,4,1747676810
A121872,B1003672,97,5,1757579552
A610443,B1002990,950,4,1741849607
A267814,B1000393,676,4,1759747716
A497165,B1002532,447,4,1744571749
A307346,B1001100,1230,5,1752403895
A820989,B1003894,37,4,1758858229
A280236,B1002758,574,4,1762078026
A289819,B1002537,870,5,1747347429
A102186,B1003948,773,5,1740093607
A753723,B1002985,360,5,1758397704
A200817,B1001487,650,5,1757865600
A445369,B1003252,290,5,1757856773
A942179,B1003838,544,5,1744623256
A211479,B1001924,632,5,1742767764
A817990,B1003355,1217,5,1755653908
A294281,B1000032,272,4,1764221178
A757295,B1001076,346,5,1750919934
A270698,B1002932,426,5,1752928922
A752585,B1004571,318,5,1761791168
A796493,B1004083,65,5,1740328636
A701830,B1003274,929,5,1749268594
A393241,B1001917,1295,5,1759908112
A570206,B1001685,1312,5,1760164746
A894043,B1002996,96,5,1764167555
A266299,B1003369,923,5,1759976769
A770619,B1003406,49,5,1736751470
A461388,B1001659,374,3,1747675431
A806843,B1004501,621,3,1746695018
A322976,B1004035,53,5,1740287500
A144863,B1003338,1138,3,1749878683
A104241,B1004798,880,4,1737011897
A149698,B1004555,661,5,1759188780
A665605,B1001717,1110,5,1753955292
A124117,B1001101,1102,3,1742662666
A452412,B1000393,1130,4,1747649935
A606316,B1003026,1466,5,1758914420
A180768,B1002912,861,5,1743008268
A636487,B1000488,744,4,1748657347
A746135,B1004201,391,3,1734587941
A155822,B1001114,1147,5,1748383500
A882633,B1004751,214,3,1738951587
A121335,B1004107,392,5,1760398085
A302523,B1001256,604,5,1745331424
A101581,B1000122,1139,5,1748902334
A934099,B1002744,1218,5,1736479627
A444300,B1002100,1382,4,1755869709
A383543,B1000505,50,4,1764521408
A983935,B1003453,1278,5,1738709145
A871457,B1002563,130,5,1746548299
A451409,B1000949,1280,4,1763910272
A860749,B1000879,778,5,1735607267
A504119,B1000311,902,5,1762914829
A513899,B1002693,619,4,1754223681
A935031,B1003186,508,5,1749098968
A872487,B1000238,348,5,1740687269
A218405,B1004912,1018,5,1747037836
A933593,B1001359,57,5,1741023155
A736653,B1002457,18,5,1738732516
A115474,B1002379,833,4,1762357754
A226853,B1001197,1006,5,1749555047
A158935,B1002563,1438,4,1757722907
A290787,B1003137,1161,4,1739779258
A917107,B1002043,685,5,1764922858
A158917,B1000294,1373,4,1745777834
A576259,B1003494,106,5,1748142417
A851148,B1004755,719,5,1744551974
A214453,B1004943,968,5,1758282291
A817179,B1000784,81,4,1763121103
A141403,B1000700,528,4,1742759190
A231414,B1001159,1484,5,1758763475
A747164,B1000180,1190,5,1753957203
A949292,B1002777,122,5,1740894862
A521192,B1004734,185,5,1745044731
A817990,B1000716,72,4,1759595847
A402163,B1001439,1062,5,1749526194
A497555,B1002587,900,4,1734875536
A158976,B1004067,796,4,1755277873
A276857,B1001780,199,4,1757939613
A906153,B1002143,1304,4,1763509360
A432594,B1002980,1457,3,1746090402
A479694,B1003292,676,5,1734923150
A244780,B1002014,1022,5,1749355682
A531556,B1001816,912,5,1761146197
A324134,B1000353,1124,5,1749876550
A394546,B1001373,1158,4,1741354375
A299401,B1002953,86,5,1742178840
A995169,B1002536,1482,5,1749896665
A576881,B1004461,1231,5,1737161071
A626425,B1003846,83,4,1745116868
A204163,B1002533,905,4,1746069085
A710236,B1000169,480,5,1752775655
A738194,B1001616,366,5,1749935179
A309221,B1002870,1294,5,1757367692
A119281,B1004719,1126,5,1748664938
A221673,B1001976,60,5,1759156666
A674480,B1003095,438,3,1749622640
A145434,B1002256,699,4,1742346942
A524202,B1001861,32,5,1752292736
A962442,B1002411,860,4,1765378096
A444300,B1004743,436,5,1751891541
A639146,B1003870,576,3,1746589542
A818729,B1002065,164,5,1749811288
A293173,B1004791,459,5,1740915168
A212564,B1003619,246,4,1742102225
A717757,B1002906,471,5,1761001632
A742144,B1004753,1252,5,1735446588
A230499,B1001872,519,5,1763728015
A688488,B1000288,176,4,1763731486
A118221,B1004942,266,5,1760733034
A304160,B1000828,1005,5,1743464491
A507422,B1004694,147,5,1756294712
A215612,B1001824,351,4,1742983765
A523913,B1004531,399,3,1742670957
A343190,B1004175,129,5,1743967286
A350764,B1002593,649,5,1735724418
A384243,B1004519,1130,3,1752355197
A815696,B1003696,1056,5,1744314839
A983348,B1002152,549,5,1750714214
A915715,B1000975,50,3,1759047928
A617965,B1002695,1423,5,1738581702
A891938,B1001208,61,5,1753435668
A357494,B1004663,1362,5,1760179563
A331018,B1003870,403,5,1749316392
A853413,B1004342,1166,4,1740900594
A483141,B1003628,1159,3,1737699032
A790465,B1002491,1183,5,1759041260
A443504,B1000483,1173,4,1746276354
A567017,B1004068,167,5,1739539413
A785572,B1004298,857,5,1736447475
A749050,B1002217,435,5,1738794667
A880268,B1001549,1067,3,1750635184
A104394,B1002293,310,5,1746305275
A402197,B1001793,1472,5,1747483648
A215612,B1003764,1374,5,1742873805
A765014,B1002591,1405,4,1735699218
A721781,B1004472,1004,5,1755320015
A448539,B1004725,875,5,1760383553
A191606,B1001144,752,4,1756858074
A862958,B1001548,696,5,1742157678
A155787,B1000654,300,4,1750570055
A373868,B1003906,1283,4,1762964303
A148639,B1001185,630,5,1749975765
A134512,B1001842,714,4,1764517170
A112970,B1004956,1403,5,1736386326
A290375,B1000815,1195,5,1754224954
A325832,B1004983,75,4,1750070204
A608142,B1004434,591,5,1749490178
A701364,B1003785,643,4,1739127062
A321562,B1000707,879,4,1742683142
A503422,B1002718,489,5,1754958959
A898976,B1000593,164,3,1761906254
A931560,B1002583,1212,5,1736266601
A355531,B1003340,252,5,1756674117
A564620,B1001240,1057,3,1739064971
A804823,B1002887,149,5,1753235489
A707305,B1002787,1022,4,1740333952
A473737,B1000806,698,5,1751167914
A807491,B1000752,1077,5,1737824951
A259121,B1004165,1198,4,1754187840
A814540,B1003433,94,5,1735021280
A612405,B1003567,912,5,1739983971
A187806,B1002661,523,5,1762198457
A166375,B1002468,1393,4,1762650699
A192448,B1003645,1155,5,1736937148
A510068,B1004941,170,5,1758880699
A935031,B1004519,420,3,1745489546
A444697,B1003276,1410,5,1735773022
